Civil Process / Criminal & Civil,Total
Subpoenas served,5654
Inmate transports,1095
Jury summons served,778
Temporary Detention Orders Served,39
Criminal warrants served,273
Extraditions completed,122
Levies served,996
Other civil process served,2031
