Miscellaneous,Total
Fingerprinting events,3
Total number of children fingerprinted,200
Senior Prom,225
Senior Jamboree,425
Senior Safety Fair,250
Residential Assessments,4
Business Assessments,4
Classes Taught at Academy,10
Community Emergency Response Team Training Classes,3
Community Emergency Response Team Individuals Trained,50
Project Lifesaver - Participants,6
