Judicial & Special Operations Duties Performed,2010,2011
Courthouse/Courtroom Case Security (Judicial Services),"77,425","77,425"
Warrants Cleared (Special Operations),N/A,"28,000"
Civil Documents Served (Judicial Service Deputies),N/A,48
Civil Documents Served Average Service Turn Around Time,"1,000",N/A
Registered Sex Offender Address Verification via Unannounced Sweep,47,N/A
