Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”,Name: “Table 1 of 1 on page 91 of 92”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Appendices,Appendices,,91
Appendix 4,Appendix 4,,,,,,,,,,,,,,
Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,,,,,,,
Offenses Against the Person,Offenses Against the Person,Offenses Against the Person,Offenses Against the Person,Offenses Against the Person,,,,,,,,,,,
,,ASSAULT,,,,KIDNAPPING,KIDNAPPING,KIDNAPPING,,,HOMICIDE,HOMICIDE,HOMICIDE,,
,,,n,,,,,,,,,,,,
,,,o,,,,,,,,,,,,
,,,i,,,,,,,,,,,,
,,,t,,,,,,,,,,,,
,,,a,,,,,,,,,,,,
,,,v,,,,,,,,,,,,
,,,a,,,,,,,,,,,,
,,,r,,,,,,,,,,,,
,,,g,f,,,,,,,,,,,
,,,g,o,,,,,,,,,,,
,,,A,,,,,,,,,,,,
1,71%,17.7%,11.3%,62,1,62.5%,25%,12.5%,8,1,77.8%,11.1%,11.1%,9,
2,77.0,11.5,11.5,61,2,50.0,50.0,0.0,6,2,90.0,0.0,10.0,10,
3,76.7,14.0,9.3,43,3,0.0,100.0,0.0,1,3,80.0,10.0,10.0,10,
4,73.2,18.6,8.2,97,4,33.3,33.3,33.3,3,4,62.5,25.0,12.5,24,
5,67.9,12.5,19.6,56,5,100.0,0.0,0.0,1,5,50.0,20.0,30.0,10,
6,71.4,16.7,11.9,42,6,0.0,0.0,0.0,0,6,75.0,0.0,25.0,4,
7,76.3,13.6,10.2,59,7,50.0,16.7,33.3,6,7,45.5,18.2,36.4,11,
8,71.4,14.3,14.3,35,8,100.0,0.0,0.0,2,8,100.0,0.0,0.0,3,
9,71.1,17.8,11.1,45,9,100.0,0.0,0.0,3,9,66.7,0.0,33.3,3,
10,67.4,28.3,4.3,46,10,40.0,20.0,40.0,5,10,66.7,33.3,0.0,6,
11,81.3,15.6,3.1,32,11,100.0,0.0,0.0,1,11,40.0,20.0,40.0,5,
12,72.0,16.0,12.0,50,12,80.0,20.0,0.0,5,12,83.3,8.3,8.3,12,
13,70.7,12.1,17.2,58,13,50.0,12.5,37.5,8,13,61.9,19.0,19.0,21,
14,86.0,6.0,8.0,50,14,44.4,33.3,22.2,9,14,57.1,21.4,21.4,14,
15,67.0,12.0,21.0,100,15,53.8,7.7,38.5,13,15,73.3,6.7,20.0,15,
16,70.0,11.7,18.3,60,16,0.0,33.3,66.7,3,16,66.7,33.3,0.0,12,
17,72.7,18.2,9.1,11,17,60.0,0.0,40.0,5,17,100.0,0.0,0.0,2,
18,69.2,23.1,7.7,13,18,0.0,0.0,0.0,0,18,100.0,0.0,0.0,4,
19,67.7,19.4,12.9,93,19,41.7,8.3,50.0,12,19,80.0,0.0,20.0,10,
20,68.8,12.5,18.8,16,20,33.3,33.3,33.3,3,20,66.7,16.7,16.7,6,
21,73.3,20.0,6.7,15,21,100.0,0.0,0.0,3,21,66.7,0.0,33.3,3,
22,79.5,5.1,15.4,39,22,0.0,0.0,100.1000.02,100.1000.02,22,66.7,0.0,33.3,9,
23,62.3,27.5,10.1,69,23,57.1,28.6,14.3,7,23,12.5,75.0,12.5,8,
24,61.1,26.4,12.5,72,24,57.1,14.3,28.6,7,24,66.7,0.0,33.3,3,
25,55.9,41.2,2.9,34,25,100.0,0.0,0.0,5,25,75.0,12.5,12.5,8,
26,76.4,19.4,4.2,72,26,57.1,42.9,0.0,7,26,63.6,18.2,18.2,11,
27,78.9,14.1,7.0,71,27,33.3,33.3,33.3,3,27,100.0,0.0,0.0,9,
28,88.2,5.9,5.9,17,28,0.0,0.0,0.0,0,28,25.0,0.0,75.0,4,
29,65.5,17.2,17.2,29,29,100.0,0.0,0.0,4,29,66.7,11.1,22.2,9,
30,46.2,53.8,0.0,13,30,0.0,0.0,0.0,0,30,75.0,0.0,25.0,4,
31,86.7,3.3,10.0,30,31,100.0,0.0,0.0,2,31,66.7,13.3,20.0,15,
Total,71.6,16.9,11.5,1493,Total,56.7,18.7,24.6,134,Total,67.2,15.0,17.9,274,
