Calendar Year,2008,2009,2010,2011,2012
"Civil Process (Subpoenas, Custody Orders, etc.)","3,276","3,131","3,073","3,353","3,389"
Calls for Service (Sheriff’s Office),"10,180","10,782","11,795","12,221","11,981"
Motor Vehicle Accidents with Property Damage,243,274,277,222,336
Motor Vehicle Accidents with Personal Injury,96,110,103,37,91
Traffic Stops,"4,092","3,791","5,358","5,645","3,691"
Calls for Service (911 Emergency Services),"19,670","20,057","20,477","24,452","17,775"
