Type,2012,2013,2014
Criminal Offenses,"2,810","2,494","2,346"
Traffic Warrants,"7,258","6,864","5,817"
Communication Services (Police),"44,129","32,927","31,309"
Parking Services,424,88*,445
Total,"54,621","42,218","39,917"
