Date ,Report Type ,Street ,Zip ,Area ,ED ,N#
3/24/2004,GRAND LARCENY ,ALABAMA LANE ,23188,300,1,190
5/23/2004,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,ALABAMA LANE ,23188,300,1,190
11/1/2015,ANNOYING PHONE CALLS ,ALABAMA LANE ,23188,300,1,190
11/1/2015,CURSING/OBSCENE LANGUAGE ,ALABAMA LANE ,23188,300,1,190
1/4/2004,POSSESSION OF MARIJUANA ,BARLOW ROAD ,23188,300,1,189
1/4/2004,RECKLESS HANDLING OF FIREARM ,BARLOW ROAD ,23188,300,1,189
1/4/2004,TOBACCO PRODUCTS - POSSESSION OF PRODUCT BY PERSONS UND E ,BARLOW ROAD ,23188,300,1,189
1/23/2004,"LARCENY,FROM MOTOR VEHICLE ",BARLOW ROAD ,23188,300,1,189
2/25/2004,"BURGLARY, RESIDENTIAL ",BARLOW ROAD ,23188,300,1,189
2/25/2004,DRUG/NARCOTIC VIOLATIONS ,BARLOW ROAD ,23188,300,1,189
2/25/2004,GRAND LARCENY ,BARLOW ROAD ,23188,300,1,189
3/10/2004,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,300,1,189
6/3/2004,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,23188,300,1,189
11/9/2015,DEAD ON ARRIVAL ,BARLOW ROAD ,23188,300,1,189
11/22/2015,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,300,1,189
12/5/2015,"ASSAULT, SIMPLE, DOMESTIC ",BARLOW ROAD ,23188,300,1,189
5/15/2004,"DAMAGE PROPERTY, PRIVATE ",CARTERS NECK ROAD ,23188,300,1,189
7/7/2004,"BURGLARY, RESIDENTIAL ",CARTERS NECK ROAD ,23188,300,1,189
7/7/2004,"DAMAGE PROPERTY, PRIVATE ",CARTERS NECK ROAD ,23188,300,1,189
7/7/2004,PETIT LARCENY ,CARTERS NECK ROAD ,23188,300,1,189
1/15/2004,GRAND LARCENY ,CHAPEL HILL LANE ,23188,300,1,190
3/23/2004,RUNAWAY JUVENILE ,CHAPEL HILL LANE ,23188,300,1,190
4/22/2004,PETIT LARCENY ,CHAPEL HILL LANE ,23188,300,1,190
10/28/2015,CREDIT CARD FRAUD ,CHERWELL COURT ,23188,300,1,5
10/28/2015,CREDIT CARD THEFT ,CHERWELL COURT ,23188,300,1,5
1/6/2004,CITIZEN REQUESTED ASSISTANCE ,DEER PATH ROAD ,23188,300,1,177
1/10/2004,ANNOYING PHONE CALLS ,DEER PATH ROAD ,23188,300,1,177
1/11/2004,CITIZEN REQUESTED ASSISTANCE ,DEER PATH ROAD ,23188,300,1,177
1/15/2004,CITIZEN REQUESTED ASSISTANCE ,DEER PATH ROAD ,23188,300,1,177
10/20/2015,CITIZEN REQUESTED ASSISTANCE ,DEER PATH ROAD ,23188,300,1,177
2/27/2004,ATTEMPTED SUICIDE ,DEVONSHIRE DRIVE ,23188,300,1,5
3/18/2004,"DAMAGE PROPERTY, PRIVATE ",DEVONSHIRE DRIVE ,23188,300,1,5
3/18/2004,"LARCENY,FROM MOTOR VEHICLE ",DEVONSHIRE DRIVE ,23188,300,1,5
5/22/2004,"ASSAULT, SIMPLE, DOMESTIC ",DEVONSHIRE DRIVE ,23188,300,1,5
12/20/2015,"DAMAGE PROPERTY, PRIVATE ",DEVONSHIRE DRIVE ,23188,300,1,5
8/24/2004,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,EAST ROCHAMBEAU & BARLOW RD ,23188,300,1,14
8/24/2004,REFUSE BLOOD/BREATH TEST ,EAST ROCHAMBEAU & BARLOW RD ,23188,300,1,14
5/10/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DR & MOORETOWN RD. ,23188,300,1,14
1/5/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/8/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/8/2004,SEXUAL BATTERY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/9/2004,MOTOR VEHICLE THEFT ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/13/2004,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/14/2004,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/24/2004,CONCEALMENT/PRICE CHANGING ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/26/2004,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/27/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
1/27/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/1/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/6/2004,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/8/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/12/2004,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/13/2004,SEXUAL BATTERY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/17/2004,POSSESS WEAPON ON SCHOOL PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/25/2004,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
2/26/2004,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/1/2004,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/3/2004,"ASSAULT, SIMPLE, DOMESTIC ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/5/2004,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/5/2004,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/5/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/5/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/8/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/8/2004,ISSUING BAD CHECKS <$200 ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/14/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/18/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/18/2004,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/18/2004,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/19/2004,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/24/2004,OVERDOSE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/26/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/29/2004,"BURGLARY, BUSINESS ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/29/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
3/29/2004,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
4/6/2004,"LARCENY,FROM COIN-OP.MACHINE OR DEVICE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
4/21/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/7/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/14/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/25/2004,DISTRIBUTION OF IMITATION DRUGS TO MINOR ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/25/2004,POSSESS WEAPON ON SCHOOL PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/25/2004,POSSESS WEAPON ON SCHOOL PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/25/2004,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/26/2004,EMBEZZLEMENT <$200 ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
5/28/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/1/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/2/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/5/2004,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/7/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/8/2004,OBSCENE/THREATENING PHONE CALL ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/16/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
6/30/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/16/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/19/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/23/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/25/2004,ABDUCTION & KIDNAPPING ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/25/2004,"FORGING, UTTERING ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/25/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/25/2004,RAPE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/26/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/27/2004,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/27/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
7/29/2004,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/6/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/6/2004,RESISTING ARREST/OBS JUSTICE W/O THREAT OF FORCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/14/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/18/2004,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/18/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/21/2004,AGGRAVATED MALICIOUS WOUNDING ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/21/2004,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/24/2004,CARRYING CONCEALED WEAPON -1ST OFFENSE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/24/2004,DRIVING W/SUSPENDED OR REVOKED LICENSE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/29/2004,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
8/30/2004,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/2/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/5/2015,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/5/2015,IDENTITY FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/8/2015,DISORDERLY CONDUCT ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/9/2015,ASSAULT & BATTERY -POLICE OFCR OR FIREFIGHTER ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/9/2015,RUNAWAY JUVENILE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/11/2015,DRUNK IN PUBLIC ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/13/2015,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/15/2015,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/17/2015,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/18/2015,EMBEZZLEMENT <$200 ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/20/2015,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/22/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/24/2015,BRANDISHING FIREARM ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/24/2015,RECKLESS - GENERAL ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/25/2015,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/25/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/29/2015,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
10/29/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/2/2015,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/2/2015,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/3/2015,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/7/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/9/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/12/2015,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/12/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/15/2015,ABDUCTION & KIDNAPPING ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/15/2015,"BREAKING & ENTER W/INT TO RAPE,ROB,MURDER -ARMED ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/15/2015,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/15/2015,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/16/2015,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/17/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/18/2015,"ASSAULT, SIMPLE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/20/2015,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/26/2015,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/26/2015,DRIVING W/SUSPENDED OR REVOKED LICENSE ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/26/2015,OBTAINING MONEY BY FALSE PRETENSES ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
11/26/2015,POSSESSION OF MARIJUANA ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/7/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/7/2015,"LARCENY, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,FORGERY BY CREDIT CARD ,EAST ROCHAMBEAU DRIVE ,23188,300,1,14
12/13/2015,"LARCENY, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,300,1,14
