Locality,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Augusta County,"2,752.40","2,509.77","2,310.70","2,558.86","2,522.18","2,181.42","2,036.15","2,354.87","2,151.25","2,064.78","1,983.72","2,108.62","2,202.80","1,825.40","2,047.10","1,852.27"
Bath County,"1,010.30","1,160.00",280,20.4,125,N/A,414.42,N/A,974.78,"1,095.89","1,120.27",958.93,879.94,"1,682.08","1,404.31",761.58
Highland County,"1,498.40","1,500.00","1,480.00",291.66,N/A,N/A,N/A,N/A,"2,015.77","1,363.83","1,206.37","1,350.76","1,005.24",475.98,391.81,658.76
Rockbridge County,"3,005.80",228.24,536.6,N/A,"3,058.08","2,729.22","2,984.27","3,321.62","2,921.42","3,172.55","2,833.66","2,806.58","3,560.34","3,046.88","3,047.97","3,163.89"
Rockingham County,"1,324.10","1,098.11","1,006.12","1,285.72","1,224.21","1,208.09","1,104.83","1,058.09",964.84,852.84,"1,011.59","1,027.06","1,228.17","1,362.78","1,582.40","1,594.34"
Buena Vista,"1,401.80","1,765.62","2,650.79","2,836.06","2,750.00","2,000.00","1,328.75","2,335.16","2,594.01","3,341.98","1,022.55",N/A,"1,608.57","2,369.80","1,601.86","1,936.33"
Harrisonburg,"7,188.40","6,801.95","5,900.47","6,066.35","6,524.59","6,039.08","6,594.54","6,419.57","6,265.34","5,891.76","4,929.05","4,966.33","5,082.37","5,429.04","5,550.06","5,423.66"
Lexington,"2,854.20","3,271.42","3,314.28","3,028.98","3,724.63","3,385.71","2,821.58","2,520.31","2,274.30","1,922.54","1,491.05","2,223.14","2,175.09","2,045.82","1,473.59","1,686.90"
Staunton,"8,074.50","8,245.76","9,080.85","9,066.07","8,013.27","7,835.49","9,448.54","9,264.50","7,472.83","6,624.63","6,742.18","6,316.57","6,209.20","6,221.26","6,268.51","6,103.82"
Waynesboro,"4,113.70","10,224.48","9,285.71","7,918.78","8,893.93","8,465.00","8,777.37","7,699.09","8,028.52","8,265.73","7,550.22","8,242.09","7,867.90","7,213.89","6,213.93","5,960.08"
