Eastern District,2011 Summonses,2011 Crashes,2012 Summonses,2012 Crashes,% Change Crashes 
Dale Blvd. & Minnieville Rd.,133,18,108,22,22.00%
Dale Blvd. & Neabsco Mills Rd.,7,23,113,13,-43.00%
Old Bridge Rd. & Harbor Dr.,2,20,37,15,-25.00%
PW Pkwy & Smoketown Rd.,2,21,147,18,-14.00%
PW Pkwy & Telegraph Rd.,7,26,151,17,-35.00%
