Rate,Year
30.3,1998
28.7,1999
26.4,2000
27.7,2001
25.9,2002
24.3,2003
24.5,2004
22.8,2005
21.6,2006
19.8,2007
20.1,2008
19.5,2009
19.2,2010
17.5,2011
17.04,2012
