Calendar Year,2006,2007,2008,2009,2010
Total Arrests*,596,741,451,399,458
"Civil Process (Subpoenas, Custody Orders, etc.)","3,699","2,825","3,276","3,131","3,073"
Calls for Service (Sheriff’s Office),"10,532","10,976","10,180","10,782","11,795"
Motor Vehicle Accidents with Property Damage,268,294,243,274,277
Motor Vehicle Accidents with Personal Injury,110,119,96,110,103
Traffic Stops,"3,475","4,071","4,092","3,791","5,358"
Calls for Service (911 Emergency Services),"19,198","20,215","19,670","20,057","20,477"
