Background Data,Total
Calls for Service,"459,574"
Sworn,"1,368"
Civilian (FT Equivalency),350
Population,"1,111,620 Based on Fairfax County Department of Neighborhood and Community Services 2013 estimate"
Square Miles Patrolled,395
