Arrests by Offense,Total County,
,Adult,Juvenile
Murder,92,1
Manslaughter,9,0
Kidnaping,460,24
"Sex Offenses, Forcible",652,125
Robbery,584,109
Aggravated Assault,2012,173
Simple Assault/Intimidation,17097,2818
Arson,89,78
Extortion/Blackmail,18,7
Burglary,2122,433
Larceny,14851,2412
Motor Vehicle Theft,437,65
Counterfeiting/Forgery,1224,27
Fraud,2386,84
Embezzlement,922,20
Stolen Property,379,74
Vandalism,1891,630
Drug/Narcotic Offenses,18970,1937
"Sex Offenses, Nonforcible",65,13
Pornography,112,24
Gambling,14,4
Prostitution,351,1
Bribery,5,0
Weapon Law Violations,1372,190
TOTAL GROUP A,66114,9249
Bad Checks,1377,2
Curfew/Loitering/Vagrancy,20,604
Disorderly Conduct,1645,620
Driving Under Influence,17540,115
Drunkenness,13540,160
"Family Offenses, Nonforcible",664,20
Liquor Laws Violations,3214,1121
Peeping Tom,25,1
Runaway,0,2718
Trespass of Real Property,2879,504
Conspiracy,87,4
All Other (except Traffic),43318,2714
TOTAL GROUP B,84309,8583
GRAND TOTAL,150423,17832
