Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,22,1
Manslaughter,0,0
Kidnaping,75,3
"Sex Offenses, Forcible",80,22
Robbery,120,20
Aggravated Assault,199,8
Simple Assault/Intimidation,2712,366
Arson,9,6
Extortion/Blackmail,9,5
Burglary,197,63
Larceny,1494,420
Motor Vehicle Theft,23,6
Counterfeiting/Forgery,111,3
Fraud,323,6
Embezzlement,77,2
Stolen Property,29,11
Vandalism,216,55
Drug/Narcotic Offenses,1654,194
"Sex Offenses, Nonforcible",5,1
Pornography,14,2
Gambling,3,0
Prostitution,48,0
Bribery,0,0
Weapon Law Violations,194,23
TOTAL GROUP A,7614,1217
Bad Checks,24,0
Curfew/Loitering/Vagrancy,197,450
Disorderly Conduct,696,47
Driving Under Influence,2456,6
Drunkenness,3353,12
"Family Offenses, Nonforcible",277,1
Liquor Laws Violations,647,168
Peeping Tom,4,0
Runaway,0,0
Trespass of Real Property,467,39
Conspiracy,1,0
All Other (except Traffic),7682,183
TOTAL GROUP B,15804,906
GRAND TOTAL,23418,2123
