Arrests by Offense,Brunswick ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,3,0
Aggravated Assault,4,3
Simple Assault/Intimidation,24,2
Arson,1,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,17,7
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,1,2
Fraud,2,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,8,0
Drug/Narcotic Offenses,37,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,110,18
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,0
Driving Under Influence,104,0
Drunkenness,28,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,9,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,15,1
Conspiracy,0,0
All Other (except Traffic),234,0
TOTAL GROUP B,401,3
GRAND TOTAL,511,21
