Arrests by Offense,Accomack,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,0
Robbery,6,0
Aggravated Assault,13,0
Simple Assault/Intimidation,88,2
Arson,2,2
Extortion/Blackmail,2,0
Burglary,7,2
Larceny,70,7
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,4,0
Fraud,14,0
Embezzlement,3,0
Stolen Property,3,0
Vandalism,14,1
Drug/Narcotic Offenses,92,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,12,0
TOTAL GROUP A,338,20
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,6
Disorderly Conduct,13,2
Driving Under Influence,89,0
Drunkenness,125,0
"Family Offenses, Nonforcible",16,0
Liquor Laws Violations,10,0
Peeping Tom,1,0
Runaway,0,2
Trespass of Real Property,9,0
Conspiracy,2,1
All Other (except Traffic),149,17
TOTAL GROUP B,416,28
GRAND TOTAL,754,48
