Arrests by Offense,Harrisonburg,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,10,2
"Sex Offenses, Forcible",10,0
Robbery,16,1
Aggravated Assault,29,2
Simple Assault/Intimidation,293,12
Arson,0,0
Extortion/Blackmail,0,0
Burglary,21,5
Larceny,267,13
Motor Vehicle Theft,1,6
Counterfeiting/Forgery,20,0
Fraud,44,0
Embezzlement,8,0
Stolen Property,7,0
Vandalism,43,4
Drug/Narcotic Offenses,303,14
"Sex Offenses, Nonforcible",1,0
Pornography,4,0
Gambling,0,0
Prostitution,2,0
Bribery,3,0
Weapon Law Violations,21,2
TOTAL GROUP A,1104,61
Bad Checks,18,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,18,3
Driving Under Influence,196,3
Drunkenness,679,2
"Family Offenses, Nonforcible",13,0
Liquor Laws Violations,413,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,49,1
Conspiracy,2,0
All Other (except Traffic),863,5
TOTAL GROUP B,2252,16
GRAND TOTAL,3356,77
