Arrests by Offense,Culpeper,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,14,0
"Sex Offenses, Forcible",14,4
Robbery,6,3
Aggravated Assault,29,4
Simple Assault/Intimidation,293,28
Arson,0,1
Extortion/Blackmail,1,0
Burglary,21,1
Larceny,253,15
Motor Vehicle Theft,9,0
Counterfeiting/Forgery,20,2
Fraud,49,0
Embezzlement,7,0
Stolen Property,12,1
Vandalism,38,3
Drug/Narcotic Offenses,256,13
"Sex Offenses, Nonforcible",2,0
Pornography,1,1
Gambling,0,0
Prostitution,6,0
Bribery,0,0
Weapon Law Violations,15,1
TOTAL GROUP A,1048,77
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,5
Driving Under Influence,197,1
Drunkenness,174,2
"Family Offenses, Nonforcible",15,1
Liquor Laws Violations,39,10
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,22,1
Conspiracy,0,0
All Other (except Traffic),638,11
TOTAL GROUP B,1099,32
GRAND TOTAL,2147,109
