Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,28,3
"Sex Offenses, Forcible",61,21
Robbery,66,33
Aggravated Assault,164,20
Simple Assault/Intimidation,1511,347
Arson,6,10
Extortion/Blackmail,2,2
Burglary,78,69
Larceny,867,190
Motor Vehicle Theft,15,6
Counterfeiting/Forgery,100,1
Fraud,204,15
Embezzlement,69,4
Stolen Property,44,13
Vandalism,106,65
Drug/Narcotic Offenses,1527,248
"Sex Offenses, Nonforcible",5,3
Pornography,4,7
Gambling,0,0
Prostitution,28,0
Bribery,0,0
Weapon Law Violations,68,10
TOTAL GROUP A,4956,1067
Bad Checks,43,0
Curfew/Loitering/Vagrancy,0,147
Disorderly Conduct,145,84
Driving Under Influence,1868,8
Drunkenness,866,31
"Family Offenses, Nonforcible",27,0
Liquor Laws Violations,146,72
Peeping Tom,3,0
Runaway,0,831
Trespass of Real Property,119,17
Conspiracy,0,0
All Other (except Traffic),2606,99
TOTAL GROUP B,5823,1289
GRAND TOTAL,10779,2356
