Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,57,1
Manslaughter,1,0
Kidnaping,70,0
"Sex Offenses, Forcible",38,2
Robbery,157,20
Aggravated Assault,356,14
Simple Assault/Intimidation,1919,225
Arson,9,2
Extortion/Blackmail,1,0
Burglary,178,26
Larceny,692,74
Motor Vehicle Theft,37,6
Counterfeiting/Forgery,68,0
Fraud,282,5
Embezzlement,26,0
Stolen Property,73,17
Vandalism,227,24
Drug/Narcotic Offenses,1727,56
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,5,0
Prostitution,91,0
Bribery,1,0
Weapon Law Violations,283,21
TOTAL GROUP A,6300,493
Bad Checks,27,0
Curfew/Loitering/Vagrancy,0,12
Disorderly Conduct,163,35
Driving Under Influence,464,0
Drunkenness,730,0
"Family Offenses, Nonforcible",343,3
Liquor Laws Violations,145,3
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,624,23
Conspiracy,5,0
All Other (except Traffic),4226,11
TOTAL GROUP B,6728,87
GRAND TOTAL,13028,580
