Arrests by Offense,Radford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,2
Robbery,2,1
Aggravated Assault,21,0
Simple Assault/Intimidation,118,5
Arson,0,0
Extortion/Blackmail,0,0
Burglary,19,0
Larceny,77,4
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,23,0
Fraud,31,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,20,0
Drug/Narcotic Offenses,150,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,483,13
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,6,0
Driving Under Influence,146,1
Drunkenness,399,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,359,6
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,0
Conspiracy,0,0
All Other (except Traffic),235,16
TOTAL GROUP B,1187,24
GRAND TOTAL,1670,37
