Arrests by Offense,Williamsburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",1,0
Robbery,2,4
Aggravated Assault,3,0
Simple Assault/Intimidation,111,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,2
Larceny,47,7
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,7,0
Fraud,14,2
Embezzlement,5,0
Stolen Property,1,0
Vandalism,5,4
Drug/Narcotic Offenses,82,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,300,28
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,8,0
Driving Under Influence,91,0
Drunkenness,174,1
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,49,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,13,1
Conspiracy,0,0
All Other (except Traffic),30,0
TOTAL GROUP B,370,5
GRAND TOTAL,670,33
