Arrests by Offense,Smyth,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",2,0
Robbery,8,0
Aggravated Assault,20,2
Simple Assault/Intimidation,249,7
Arson,2,0
Extortion/Blackmail,0,0
Burglary,39,0
Larceny,159,5
Motor Vehicle Theft,4,1
Counterfeiting/Forgery,3,0
Fraud,18,0
Embezzlement,1,0
Stolen Property,7,1
Vandalism,24,1
Drug/Narcotic Offenses,136,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,2
TOTAL GROUP A,700,26
Bad Checks,77,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,1
Driving Under Influence,106,0
Drunkenness,162,1
"Family Offenses, Nonforcible",15,1
Liquor Laws Violations,16,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,41,2
Conspiracy,2,0
All Other (except Traffic),436,74
TOTAL GROUP B,859,87
GRAND TOTAL,1559,113
