Arrests by Offense,Total State,
,Adult,Juvenile
Murder,253,7
Manslaughter,15,0
Kidnaping,1031,46
"Sex Offenses, Forcible",1082,195
Robbery,1421,262
Aggravated Assault,4149,313
Simple Assault/Intimidation,34797,4207
Arson,168,138
Extortion/Blackmail,36,12
Burglary,3642,788
Larceny,27425,3978
Motor Vehicle Theft,674,148
Counterfeiting/Forgery,2180,41
Fraud,4320,132
Embezzlement,1489,27
Stolen Property,810,132
Vandalism,3561,870
Drug/Narcotic Offenses,35513,2836
"Sex Offenses, Nonforcible",92,18
Pornography,175,28
Gambling,39,6
Prostitution,824,1
Bribery,10,0
Weapon Law Violations,3226,336
TOTAL GROUP A,126932,14521
Bad Checks,1942,2
Curfew/Loitering/Vagrancy,286,1660
Disorderly Conduct,4194,918
Driving Under Influence,28750,145
Drunkenness,31843,214
"Family Offenses, Nonforcible",2740,45
Liquor Laws Violations,9988,1655
Peeping Tom,51,3
Runaway,0,3534
Trespass of Real Property,9317,919
Conspiracy,131,4
All Other (except Traffic),96586,5197
TOTAL GROUP B,185828,14296
GRAND TOTAL,312760,28817
