Rank,Call Nature,Number of Calls
1,Checking Building,"25,665"
2,Vehicle Stop,"23,937"
3,Busy on Investigation,"4,318"
4,See Complainant,"2,916"
5,Motorist Needs Assistance,"2,873"
6,Pick Up Paperwork,"2,736"
7,Suspicious Person,"2,179"
8,Execute Warrant,"1,785"
9,Foot Patrol,"1,651"
10,Busy at Headquarters,"1,508"
