Rank,Offense ,Total
1,Simple Assault,676
2,Vandalism of Private Property,593
3,"Simple Assault, Domestic",584
4,Petit Larceny,436
5,Grand Larceny,340
6,Destruction of Property,332
7,"Burglary, Residential",306
8,Hit and Run,292
9,Shoplifting,256
10,Theft from Motor Vehicle,239
