Animals Received,,,,,,,,
Species,On Hand 1/1/2009,Stray,Seized,Bite Cases,Surrendered By Owner,Received from Other Agency,Other,Total
Dogs,28,722,122,46,440,,7,1365
Cats,40,877,11,15,492,,,1435
Equines,2,10,,,16,,,28
Hybrid Canines,,,,,,,,
Livestock,,1,5,,,,,6
Other Companion,,,,,,,,
Animals,,,,,,,,
Poultry,,,,,,,,
Total,70,1610,138,61,948,0,7,2834
