Rank,Call Nature,Number of Calls
1,911 Hang-up,"8,025"
2,See Complainant,"5,293"
3,"Alarm, Burglary","4,422"
4,Animal Control Call,"3,631"
5,Disturbance,"3,486"
6,Auto Accident,"2,522"
7,Suspicious Person,"2,243"
8,Reckless Driver,"1,985"
9,Checking Building,"1,905"
10,Larceny,"1,472"
