Date ,Report Type ,Street ,Sub-Division
1/10/2005,TRESPASSING ,ALEXANDER HAMILTON BOULEVARD ,YORKTOWN
6/29/2005,OBSCENE/THREATENING PHONE CALL ,ALEXANDER HAMILTON BOULEVARD ,YORKTOWN
7/8/2005,"DAMAGE PROPERTY, PRIVATE ",ALEXANDER HAMILTON BOULEVARD ,YORKTOWN
8/30/2005,POSSESSION OF MARIJUANA ,AMBLER STREET ,YORKTOWN
9/14/2005,"FRAUD, ALL OTHERS ",AMBLER STREET ,YORKTOWN
1/12/2005,CITIZEN REQUESTED ASSISTANCE ,BALLARD STREET ,YORKTOWN
2/11/2005,CARRYING CONCEALED WEAPON -1ST OFFENSE ,BALLARD STREET ,YORKTOWN
2/23/2005,IDENTITY FRAUD > $200 ,BALLARD STREET ,YORKTOWN
6/6/2005,CITIZEN REQUESTED ASSISTANCE ,BALLARD STREET ,YORKTOWN
8/30/2005,FORGING PUBLIC RECORDS ,BALLARD STREET ,YORKTOWN
8/30/2005,PERJURY ,BALLARD STREET ,YORKTOWN
9/23/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",BALLARD STREET ,YORKTOWN
9/25/2005,"ASSAULT, SIMPLE, DOMESTIC ",BALLARD STREET ,YORKTOWN
11/1/2005,DRUNK IN PUBLIC ,BALLARD STREET ,YORKTOWN
11/14/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BALLARD STREET ,YORKTOWN
12/4/2005,"ASSAULT, SIMPLE, DOMESTIC ",BALLARD STREET ,YORKTOWN
12/12/2005,"FORGING, UTTERING ",BALLARD STREET ,YORKTOWN
7/5/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BALLARD STREET & MAIN STREET ,YORKTOWN
6/9/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BALLARD STREET & READ STREET ,YORKTOWN
3/7/2005,"DAMAGE PROPERTY, PRIVATE ",BAPTIST ROAD ,LACKEY
5/11/2005,SEXUAL BATTERY ,BAPTIST ROAD ,LACKEY
5/24/2005,CITIZEN REQUESTED ASSISTANCE ,BAPTIST ROAD ,LACKEY
5/24/2005,"SALE, DISTRIBUTE MARIJUANA ",BAPTIST ROAD ,LACKEY
5/26/2005,"SALE, DISTRIBUTE MARIJUANA ",BAPTIST ROAD ,LACKEY
5/27/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",BAPTIST ROAD ,LACKEY
