Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,15,4
Manslaughter,0,0
Kidnaping,30,0
"Sex Offenses, Forcible",22,8
Robbery,44,8
Aggravated Assault,84,14
Simple Assault/Intimidation,945,143
Arson,7,2
Extortion/Blackmail,0,0
Burglary,172,63
Larceny,830,183
Motor Vehicle Theft,15,3
Counterfeiting/Forgery,41,0
Fraud,85,3
Embezzlement,38,0
Stolen Property,32,6
Vandalism,79,21
Drug/Narcotic Offenses,902,71
"Sex Offenses, Nonforcible",1,0
Pornography,0,1
Gambling,0,0
Prostitution,19,0
Bribery,0,0
Weapon Law Violations,94,12
TOTAL GROUP A,3455,542
Bad Checks,3,0
Curfew/Loitering/Vagrancy,1,179
Disorderly Conduct,7,18
Driving Under Influence,426,0
Drunkenness,817,3
"Family Offenses, Nonforcible",220,0
Liquor Laws Violations,14,2
Peeping Tom,2,0
Runaway,0,331
Trespass of Real Property,219,19
Conspiracy,0,0
All Other (except Traffic),2791,153
TOTAL GROUP B,4500,705
GRAND TOTAL,7955,1247
