Arrests by Offense,Bedford,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",5,3
Robbery,3,0
Aggravated Assault,10,1
Simple Assault/Intimidation,217,18
Arson,2,0
Extortion/Blackmail,1,0
Burglary,24,1
Larceny,75,5
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,9,0
Fraud,8,0
Embezzlement,4,0
Stolen Property,1,0
Vandalism,13,4
Drug/Narcotic Offenses,167,30
"Sex Offenses, Nonforcible",3,0
Pornography,4,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,2
TOTAL GROUP A,565,64
Bad Checks,19,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,11
Driving Under Influence,140,1
Drunkenness,69,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,26,15
Peeping Tom,1,0
Runaway,0,20
Trespass of Real Property,24,0
Conspiracy,0,0
All Other (except Traffic),249,31
TOTAL GROUP B,542,78
GRAND TOTAL,1107,142
