Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",7,2
Robbery,5,1
Aggravated Assault,12,1
Simple Assault/Intimidation,120,25
Arson,0,0
Extortion/Blackmail,1,0
Burglary,12,1
Larceny,476,94
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,19,0
Fraud,36,3
Embezzlement,31,3
Stolen Property,5,0
Vandalism,16,9
Drug/Narcotic Offenses,414,35
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,47,3
TOTAL GROUP A,1210,178
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,12,5
Driving Under Influence,173,0
Drunkenness,47,2
"Family Offenses, Nonforcible",7,0
Liquor Laws Violations,29,7
Peeping Tom,0,0
Runaway,0,32
Trespass of Real Property,38,12
Conspiracy,4,1
All Other (except Traffic),1186,30
TOTAL GROUP B,1499,90
GRAND TOTAL,2709,268
