Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,20,1
Manslaughter,0,0
Kidnaping,70,6
"Sex Offenses, Forcible",72,16
Robbery,93,32
Aggravated Assault,195,29
Simple Assault/Intimidation,819,12
Arson,7,11
Extortion/Blackmail,0,0
Burglary,122,38
Larceny,1017,30
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,31,0
Fraud,56,1
Embezzlement,12,0
Stolen Property,30,0
Vandalism,39,4
Drug/Narcotic Offenses,1063,32
"Sex Offenses, Nonforcible",2,0
Pornography,3,0
Gambling,6,0
Prostitution,102,0
Bribery,0,0
Weapon Law Violations,99,4
TOTAL GROUP A,3859,216
Bad Checks,11,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,498,42
Driving Under Influence,583,0
Drunkenness,1502,1
"Family Offenses, Nonforcible",703,1
Liquor Laws Violations,1221,19
Peeping Tom,2,0
Runaway,0,43
Trespass of Real Property,1015,32
Conspiracy,0,0
All Other (except Traffic),7227,797
TOTAL GROUP B,12763,935
GRAND TOTAL,16622,1151
