Arrests by Offense,Manassas Park,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,2
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,7,0
Simple Assault/Intimidation,39,5
Arson,1,0
Extortion/Blackmail,0,0
Burglary,7,5
Larceny,21,1
Motor Vehicle Theft,0,2
Counterfeiting/Forgery,0,0
Fraud,8,0
Embezzlement,2,0
Stolen Property,3,0
Vandalism,4,2
Drug/Narcotic Offenses,108,12
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,214,30
Bad Checks,3,0
Curfew/Loitering/Vagrancy,2,0
Disorderly Conduct,5,0
Driving Under Influence,97,0
Drunkenness,55,0
"Family Offenses, Nonforcible",1,1
Liquor Laws Violations,7,2
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,3,0
Conspiracy,0,2
All Other (except Traffic),90,13
TOTAL GROUP B,263,19
GRAND TOTAL,477,49
