Arrests by Offense,Total State,
,Adult,Juvenile
Murder,316,10
Manslaughter,4,0
Kidnaping,1095,42
"Sex Offenses, Forcible",1034,231
Robbery,1438,275
Aggravated Assault,4155,287
Simple Assault/Intimidation,32018,3631
Arson,128,74
Extortion/Blackmail,41,10
Burglary,3301,623
Larceny,28271,3667
Motor Vehicle Theft,733,126
Counterfeiting/Forgery,1944,31
Fraud,4455,133
Embezzlement,1511,16
Stolen Property,825,129
Vandalism,3323,833
Drug/Narcotic Offenses,37703,2602
"Sex Offenses, Nonforcible",84,7
Pornography,199,37
Gambling,55,2
Prostitution,850,3
Bribery,13,0
Weapon Law Violations,3199,301
TOTAL GROUP A,126695,13070
Bad Checks,1497,0
Curfew/Loitering/Vagrancy,185,1451
Disorderly Conduct,3760,772
Driving Under Influence,26367,115
Drunkenness,28460,169
"Family Offenses, Nonforcible",2568,46
Liquor Laws Violations,9098,1339
Peeping Tom,37,1
Runaway,0,3378
Trespass of Real Property,8242,644
Conspiracy,133,19
All Other (except Traffic),92931,4527
TOTAL GROUP B,173278,12461
GRAND TOTAL,299973,25531
