Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",7,1
Robbery,22,3
Aggravated Assault,46,2
Simple Assault/Intimidation,338,3
Arson,1,0
Extortion/Blackmail,1,0
Burglary,21,1
Larceny,157,3
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,10,0
Fraud,57,0
Embezzlement,8,0
Stolen Property,7,2
Vandalism,46,0
Drug/Narcotic Offenses,167,6
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,0
TOTAL GROUP A,919,21
Bad Checks,121,0
Curfew/Loitering/Vagrancy,0,3
Disorderly Conduct,17,2
Driving Under Influence,100,0
Drunkenness,343,1
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,35,7
Peeping Tom,1,0
Runaway,0,71
Trespass of Real Property,112,0
Conspiracy,0,0
All Other (except Traffic),768,24
TOTAL GROUP B,1506,108
GRAND TOTAL,2425,129
