Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,38,2
"Sex Offenses, Forcible",7,0
Robbery,18,2
Aggravated Assault,60,2
Simple Assault/Intimidation,603,6
Arson,3,0
Extortion/Blackmail,0,0
Burglary,43,6
Larceny,407,8
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,17,0
Fraud,24,0
Embezzlement,14,0
Stolen Property,16,0
Vandalism,33,1
Drug/Narcotic Offenses,398,19
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,4,0
Prostitution,7,0
Bribery,0,0
Weapon Law Violations,47,1
TOTAL GROUP A,1744,48
Bad Checks,9,0
Curfew/Loitering/Vagrancy,0,3
Disorderly Conduct,62,1
Driving Under Influence,264,0
Drunkenness,6,0
"Family Offenses, Nonforcible",38,0
Liquor Laws Violations,40,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,76,5
Conspiracy,0,0
All Other (except Traffic),794,11
TOTAL GROUP B,1290,22
GRAND TOTAL,3034,70
