Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,20,1
Manslaughter,0,0
Kidnaping,52,3
"Sex Offenses, Forcible",94,26
Robbery,139,25
Aggravated Assault,183,11
Simple Assault/Intimidation,2469,339
Arson,3,5
Extortion/Blackmail,2,7
Burglary,168,39
Larceny,1499,398
Motor Vehicle Theft,40,5
Counterfeiting/Forgery,67,3
Fraud,248,10
Embezzlement,66,0
Stolen Property,32,9
Vandalism,221,66
Drug/Narcotic Offenses,1578,176
"Sex Offenses, Nonforcible",4,0
Pornography,7,0
Gambling,5,0
Prostitution,61,0
Bribery,3,0
Weapon Law Violations,223,24
TOTAL GROUP A,7184,1147
Bad Checks,15,0
Curfew/Loitering/Vagrancy,124,448
Disorderly Conduct,669,39
Driving Under Influence,2300,3
Drunkenness,3258,7
"Family Offenses, Nonforcible",364,1
Liquor Laws Violations,509,112
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,376,32
Conspiracy,2,0
All Other (except Traffic),7205,191
TOTAL GROUP B,14823,833
GRAND TOTAL,22007,1980
