Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,84,0
Manslaughter,1,0
Kidnaping,76,0
"Sex Offenses, Forcible",37,0
Robbery,211,13
Aggravated Assault,334,6
Simple Assault/Intimidation,1647,167
Arson,7,1
Extortion/Blackmail,0,0
Burglary,133,22
Larceny,724,50
Motor Vehicle Theft,62,3
Counterfeiting/Forgery,57,0
Fraud,223,2
Embezzlement,32,0
Stolen Property,75,4
Vandalism,175,31
Drug/Narcotic Offenses,1573,45
"Sex Offenses, Nonforcible",2,0
Pornography,5,0
Gambling,0,0
Prostitution,58,2
Bribery,3,0
Weapon Law Violations,223,14
TOTAL GROUP A,5742,360
Bad Checks,18,0
Curfew/Loitering/Vagrancy,0,41
Disorderly Conduct,117,44
Driving Under Influence,262,0
Drunkenness,419,3
"Family Offenses, Nonforcible",337,3
Liquor Laws Violations,123,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,491,24
Conspiracy,3,0
All Other (except Traffic),3679,14
TOTAL GROUP B,5449,130
GRAND TOTAL,11191,490
