Arrests by Offense,Staunton,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",12,0
Robbery,2,0
Aggravated Assault,18,1
Simple Assault/Intimidation,191,7
Arson,1,0
Extortion/Blackmail,0,0
Burglary,13,1
Larceny,252,11
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,8,0
Fraud,35,0
Embezzlement,5,0
Stolen Property,2,0
Vandalism,15,2
Drug/Narcotic Offenses,140,9
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,1
TOTAL GROUP A,709,32
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,3
Driving Under Influence,91,0
Drunkenness,227,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,37,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,44,2
Conspiracy,0,0
All Other (except Traffic),858,22
TOTAL GROUP B,1279,31
GRAND TOTAL,1988,63
