Arrests by Offense,Emporia,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,1
Robbery,6,2
Aggravated Assault,6,1
Simple Assault/Intimidation,51,2
Arson,2,0
Extortion/Blackmail,0,0
Burglary,3,0
Larceny,56,12
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,2,0
Fraud,3,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,7,0
Drug/Narcotic Offenses,115,1
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,268,19
Bad Checks,3,0
Curfew/Loitering/Vagrancy,1,9
Disorderly Conduct,6,0
Driving Under Influence,52,0
Drunkenness,47,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,2,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,20,0
Conspiracy,2,0
All Other (except Traffic),203,0
TOTAL GROUP B,337,13
GRAND TOTAL,605,32
