March 2015 Statistics,Total
Total Number of Dispatched Calls/Telephone Calls,763
Total Number of Incidents (Reportable/Non-Reportable),44
Total Number of Misdemeanor Arrests,13
Total Number of Citations Issued,40
Total Number of Felony Arrests,4
Total Number of Criminal/Civil Papers,45
