Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",16,0
Robbery,6,0
Aggravated Assault,24,0
Simple Assault/Intimidation,81,1
Arson,2,0
Extortion/Blackmail,0,0
Burglary,37,1
Larceny,92,3
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,14,0
Fraud,31,0
Embezzlement,5,0
Stolen Property,7,0
Vandalism,25,2
Drug/Narcotic Offenses,107,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,1
TOTAL GROUP A,467,11
Bad Checks,53,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,15,0
Driving Under Influence,205,3
Drunkenness,221,0
"Family Offenses, Nonforcible",8,0
Liquor Laws Violations,61,16
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,36,1
Conspiracy,0,0
All Other (except Traffic),778,19
TOTAL GROUP B,1377,39
GRAND TOTAL,1844,50
