Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,62,5
"Sex Offenses, Forcible",54,24
Robbery,81,36
Aggravated Assault,124,59
Simple Assault/Intimidation,1296,957
Arson,1,20
Extortion/Blackmail,2,1
Burglary,132,175
Larceny,978,636
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,194,13
Fraud,215,14
Embezzlement,137,17
Stolen Property,22,26
Vandalism,153,241
Drug/Narcotic Offenses,1235,334
"Sex Offenses, Nonforcible",7,2
Pornography,7,0
Gambling,0,0
Prostitution,33,0
Bribery,1,0
Weapon Law Violations,206,82
TOTAL GROUP A,4949,2642
Bad Checks,82,0
Curfew/Loitering/Vagrancy,2,492
Disorderly Conduct,657,174
Driving Under Influence,1196,5
Drunkenness,18,6
"Family Offenses, Nonforcible",55,0
Liquor Laws Violations,247,144
Peeping Tom,3,0
Runaway,0,764
Trespass of Real Property,196,146
Conspiracy,1,0
All Other (except Traffic),2861,363
TOTAL GROUP B,5318,2094
GRAND TOTAL,10267,4736
