Arrests by Offense,Arlington,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",33,9
Robbery,42,18
Aggravated Assault,49,2
Simple Assault/Intimidation,361,63
Arson,0,0
Extortion/Blackmail,1,0
Burglary,49,11
Larceny,478,327
Motor Vehicle Theft,11,3
Counterfeiting/Forgery,55,0
Fraud,90,5
Embezzlement,66,1
Stolen Property,23,14
Vandalism,49,27
Drug/Narcotic Offenses,336,50
"Sex Offenses, Nonforcible",4,0
Pornography,4,0
Gambling,5,0
Prostitution,26,0
Bribery,0,0
Weapon Law Violations,31,5
TOTAL GROUP A,1722,535
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,62,9
Driving Under Influence,677,0
Drunkenness,820,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,147,35
Peeping Tom,2,0
Runaway,0,115
Trespass of Real Property,170,14
Conspiracy,0,0
All Other (except Traffic),452,26
TOTAL GROUP B,2342,199
GRAND TOTAL,4064,734
