Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",2,0
Robbery,9,0
Aggravated Assault,18,1
Simple Assault/Intimidation,103,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,7,5
Larceny,122,19
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,8,0
Fraud,2,0
Embezzlement,12,0
Stolen Property,2,0
Vandalism,12,2
Drug/Narcotic Offenses,50,11
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,1,2
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,1
TOTAL GROUP A,377,48
Bad Checks,11,0
Curfew/Loitering/Vagrancy,0,15
Disorderly Conduct,18,1
Driving Under Influence,21,0
Drunkenness,36,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,18,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,1
Conspiracy,1,0
All Other (except Traffic),143,3
TOTAL GROUP B,275,21
GRAND TOTAL,652,69
