Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,16,0
"Sex Offenses, Forcible",14,3
Robbery,8,1
Aggravated Assault,30,3
Simple Assault/Intimidation,451,5
Arson,4,0
Extortion/Blackmail,0,0
Burglary,51,0
Larceny,224,7
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,21,0
Fraud,47,0
Embezzlement,28,0
Stolen Property,3,0
Vandalism,46,3
Drug/Narcotic Offenses,413,13
"Sex Offenses, Nonforcible",2,0
Pornography,0,1
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,37,1
TOTAL GROUP A,1403,37
Bad Checks,33,0
Curfew/Loitering/Vagrancy,0,5
Disorderly Conduct,23,4
Driving Under Influence,445,7
Drunkenness,245,3
"Family Offenses, Nonforcible",17,0
Liquor Laws Violations,121,54
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,45,0
Conspiracy,0,0
All Other (except Traffic),1227,101
TOTAL GROUP B,2156,175
GRAND TOTAL,3559,212
