Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,9,1
Manslaughter,0,0
Kidnaping,61,3
"Sex Offenses, Forcible",71,23
Robbery,124,45
Aggravated Assault,138,25
Simple Assault/Intimidation,2937,696
Arson,6,15
Extortion/Blackmail,2,14
Burglary,171,126
Larceny,1197,559
Motor Vehicle Theft,38,22
Counterfeiting/Forgery,165,12
Fraud,210,10
Embezzlement,89,2
Stolen Property,44,17
Vandalism,219,145
Drug/Narcotic Offenses,1778,320
"Sex Offenses, Nonforcible",5,1
Pornography,8,1
Gambling,0,0
Prostitution,71,0
Bribery,1,0
Weapon Law Violations,273,62
TOTAL GROUP A,7617,2099
Bad Checks,45,0
Curfew/Loitering/Vagrancy,72,830
Disorderly Conduct,815,135
Driving Under Influence,2657,19
Drunkenness,4115,25
"Family Offenses, Nonforcible",57,0
Liquor Laws Violations,1130,409
Peeping Tom,5,0
Runaway,0,7
Trespass of Real Property,709,206
Conspiracy,0,0
All Other (except Traffic),8644,461
TOTAL GROUP B,18249,2092
GRAND TOTAL,25866,4191
