Arrests by Offense,Falls Church,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,1,0
Simple Assault/Intimidation,31,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,0
Larceny,36,4
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,3,0
Fraud,4,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,5,37
Drug/Narcotic Offenses,39,4
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,4,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,132,48
Bad Checks,5,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,6,0
Driving Under Influence,71,0
Drunkenness,155,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,22,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,48,0
Conspiracy,0,0
All Other (except Traffic),148,16
TOTAL GROUP B,455,19
GRAND TOTAL,587,67
