Arrests by Offense,Nelson,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,4,0
Simple Assault/Intimidation,42,2
Arson,1,0
Extortion/Blackmail,0,0
Burglary,1,1
Larceny,1,0
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,1,0
Fraud,0,0
Embezzlement,6,0
Stolen Property,0,0
Vandalism,3,0
Drug/Narcotic Offenses,35,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,1
TOTAL GROUP A,104,8
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,0
Driving Under Influence,35,0
Drunkenness,29,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,1,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,2,0
Conspiracy,0,0
All Other (except Traffic),17,0
TOTAL GROUP B,89,2
GRAND TOTAL,193,10
