Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,7,3
Manslaughter,0,0
Kidnaping,33,9
"Sex Offenses, Forcible",29,14
Robbery,83,43
Aggravated Assault,89,30
Simple Assault/Intimidation,813,171
Arson,1,0
Extortion/Blackmail,1,1
Burglary,121,48
Larceny,720,260
Motor Vehicle Theft,20,13
Counterfeiting/Forgery,61,0
Fraud,66,3
Embezzlement,81,3
Stolen Property,25,7
Vandalism,34,12
Drug/Narcotic Offenses,951,86
"Sex Offenses, Nonforcible",4,0
Pornography,0,0
Gambling,0,0
Prostitution,14,0
Bribery,0,0
Weapon Law Violations,140,23
TOTAL GROUP A,3293,726
Bad Checks,8,0
Curfew/Loitering/Vagrancy,2,156
Disorderly Conduct,6,22
Driving Under Influence,362,4
Drunkenness,649,2
"Family Offenses, Nonforcible",53,0
Liquor Laws Violations,40,13
Peeping Tom,2,0
Runaway,0,260
Trespass of Real Property,161,26
Conspiracy,0,0
All Other (except Traffic),2033,90
TOTAL GROUP B,3316,573
GRAND TOTAL,6609,1299
