Arrests by Offense,Total State,
,Adult,Juvenile
Murder,291,20
Manslaughter,10,2
Kidnaping,918,48
"Sex Offenses, Forcible",1078,254
Robbery,1643,488
Aggravated Assault,4163,534
Simple Assault/Intimidation,33907,4922
Arson,140,170
Extortion/Blackmail,32,36
Burglary,3488,1130
Larceny,21911,5145
Motor Vehicle Theft,811,222
Counterfeiting/Forgery,2403,52
Fraud,3767,128
Embezzlement,1857,98
Stolen Property,804,185
Vandalism,3535,1504
Drug/Narcotic Offenses,30464,2753
"Sex Offenses, Nonforcible",108,9
Pornography,83,13
Gambling,54,4
Prostitution,554,3
Bribery,21,0
Weapon Law Violations,3566,561
TOTAL GROUP A,115608 18281,
Bad Checks,5290,8
Curfew/Loitering/Vagrancy,111,2729
Disorderly Conduct,4417,1519
Driving Under Influence,28039,188
Drunkenness,30663,198
"Family Offenses, Nonforcible",1646,21
Liquor Laws Violations,10712,2294
Peeping Tom,59,1
Runaway,0,5715
Trespass of Real Property,9482,1321
Conspiracy,104,8
All Other (except Traffic),89362,8413
TOTAL GROUP B,179885 22415,
GRAND TOTAL,295493 40696,
