Arrests by Offense,Spotsylvania,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,16,1
"Sex Offenses, Forcible",17,2
Robbery,8,0
Aggravated Assault,48,3
Simple Assault/Intimidation,414,30
Arson,1,0
Extortion/Blackmail,0,0
Burglary,20,23
Larceny,333,32
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,9,0
Fraud,42,0
Embezzlement,30,1
Stolen Property,15,2
Vandalism,31,7
Drug/Narcotic Offenses,561,39
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,7,0
Bribery,0,0
Weapon Law Violations,31,4
TOTAL GROUP A,1583,144
Bad Checks,55,2
Curfew/Loitering/Vagrancy,3,0
Disorderly Conduct,6,8
Driving Under Influence,294,0
Drunkenness,278,0
"Family Offenses, Nonforcible",34,0
Liquor Laws Violations,57,18
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,22,1
Conspiracy,0,0
All Other (except Traffic),953,17
TOTAL GROUP B,1702,46
GRAND TOTAL,3285,190
