Arrests by Offense,Lynchburg,
,Adult,Juvenile
Murder,4,0
Manslaughter,1,0
Kidnaping,21,3
"Sex Offenses, Forcible",21,5
Robbery,20,16
Aggravated Assault,26,8
Simple Assault/Intimidation,776,23
Arson,1,0
Extortion/Blackmail,0,1
Burglary,40,1
Larceny,406,63
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,32,0
Fraud,68,2
Embezzlement,40,1
Stolen Property,12,2
Vandalism,47,2
Drug/Narcotic Offenses,651,28
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,3,0
Prostitution,3,0
Bribery,0,0
Weapon Law Violations,57,14
TOTAL GROUP A,2230,169
Bad Checks,134,0
Curfew/Loitering/Vagrancy,3,0
Disorderly Conduct,77,3
Driving Under Influence,279,0
Drunkenness,504,1
"Family Offenses, Nonforcible",8,0
Liquor Laws Violations,246,13
Peeping Tom,0,0
Runaway,0,60
Trespass of Real Property,365,6
Conspiracy,0,0
All Other (except Traffic),2368,103
TOTAL GROUP B,3984,186
GRAND TOTAL,6214,355
