Arrests by Offense,Manassas,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",11,2
Robbery,14,0
Aggravated Assault,19,1
Simple Assault/Intimidation,146,5
Arson,0,0
Extortion/Blackmail,0,0
Burglary,10,0
Larceny,93,9
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,9,0
Fraud,17,0
Embezzlement,6,0
Stolen Property,3,1
Vandalism,13,2
Drug/Narcotic Offenses,100,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,457,28
Bad Checks,9,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,33,5
Driving Under Influence,101,1
Drunkenness,310,1
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,70,15
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,37,2
Conspiracy,0,0
All Other (except Traffic),342,39
TOTAL GROUP B,904,63
GRAND TOTAL,1361,91
