Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,9,2
Manslaughter,1,0
Kidnaping,10,1
"Sex Offenses, Forcible",25,12
Robbery,117,32
Aggravated Assault,235,43
Simple Assault/Intimidation,1438,266
Arson,11,21
Extortion/Blackmail,0,0
Burglary,152,75
Larceny,681,385
Motor Vehicle Theft,25,12
Counterfeiting/Forgery,86,1
Fraud,159,5
Embezzlement,54,3
Stolen Property,25,9
Vandalism,89,99
Drug/Narcotic Offenses,1929,248
"Sex Offenses, Nonforcible",6,0
Pornography,0,0
Gambling,0,0
Prostitution,34,2
Bribery,0,0
Weapon Law Violations,236,65
TOTAL GROUP A,5322,1281
Bad Checks,10,0
Curfew/Loitering/Vagrancy,9,292
Disorderly Conduct,45,36
Driving Under Influence,487,1
Drunkenness,889,10
"Family Offenses, Nonforcible",191,4
Liquor Laws Violations,27,56
Peeping Tom,0,0
Runaway,0,1245
Trespass of Real Property,207,241
Conspiracy,1,0
All Other (except Traffic),442,740
TOTAL GROUP B,2308,2625
GRAND TOTAL,7630,3906
