Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,2,0
Manslaughter,2,0
Kidnaping,11,0
"Sex Offenses, Forcible",11,2
Robbery,8,2
Aggravated Assault,28,2
Simple Assault/Intimidation,304,19
Arson,1,1
Extortion/Blackmail,2,1
Burglary,16,6
Larceny,364,136
Motor Vehicle Theft,3,3
Counterfeiting/Forgery,22,0
Fraud,41,0
Embezzlement,34,3
Stolen Property,16,2
Vandalism,34,6
Drug/Narcotic Offenses,214,15
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,27,4
TOTAL GROUP A,1143,202
Bad Checks,140,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,16,6
Driving Under Influence,246,3
Drunkenness,191,0
"Family Offenses, Nonforcible",5,0
Liquor Laws Violations,115,67
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,47,6
Conspiracy,0,0
All Other (except Traffic),987,41
TOTAL GROUP B,1747,124
GRAND TOTAL,2890,326
