Arrests by Offense,Buchanan ,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",5,0
Robbery,0,0
Aggravated Assault,35,1
Simple Assault/Intimidation,169,1
Arson,3,0
Extortion/Blackmail,0,0
Burglary,16,0
Larceny,68,2
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,8,0
Fraud,21,0
Embezzlement,3,0
Stolen Property,4,0
Vandalism,19,0
Drug/Narcotic Offenses,97,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,479,7
Bad Checks,101,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,42,0
Driving Under Influence,129,1
Drunkenness,138,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,11,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,16,0
Conspiracy,1,0
All Other (except Traffic),710,48
TOTAL GROUP B,1148,49
GRAND TOTAL,1627,56
