Civil Process,Total
"Total civil process served January 1, 2013 to December 31, 2013","19,554"
"Total civil process served by Lt. Gerald Lacy, Sgt. Terry Cook, Deputy Devon Tweedy, Deputy John Wingfield, Deputy Allen Bowyer","15,096"
"Total EPO, PPO, and OOP (includes all protective orders)","1,711"
Writ of Possession served,219
Levies served,82
