Criminal Investigation Division Statistics,Total
Felonies Worked,390
Felonies Cleared,269
Felony Warrants Obtained,291
Misdemeanors Worked,38
Misdemeanors Cleared,32
Misdemeanor Warrants Obtained,80
Polygraph examinations conducted,20
