Name: “Table 1 of 1 on page 13 of 13”,Name: “Table 1 of 1 on page 13 of 13”
Table: 13,Table: 13
,
,"y all measures, the sweeping overhaul of"
B,
the felony sentencing system adopted in,the felony sentencing system adopted in
"1994 has, to date, been a resounding and","1994 has, to date, been a resounding and"
unequivocal success.,A decade after the
historic enactment of truth-in-sentencing,historic enactment of truth-in-sentencing
"legislation in Virginia, there is substantial","legislation in Virginia, there is substantial"
evidence that the system is achieving what,evidence that the system is achieving what
its designers intended.,its designers intended.
,Virginia Criminal Sentencing Commission
,100 N. 9 th Street
,"Richmond, VA 23219"
,(804) 225-4398
,www.vcsc.state.va.us
