Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,9,0
Manslaughter,0,1
Kidnaping,10,0
"Sex Offenses, Forcible",36,18
Robbery,40,22
Aggravated Assault,169,29
Simple Assault/Intimidation,"1,379",210
Arson,7,8
Extortion/Blackmail,0,0
Burglary,137,91
Larceny,706,144
Motor Vehicle Theft,54,22
Counterfeiting/Forgery,94,7
Fraud,150,11
Embezzlement,112,3
Stolen Property,28,4
Vandalism,110,37
Drug/Narcotic Offenses,1332,139
"Sex Offenses, Nonforcible",5,1
Pornography,0,0
Gambling,3,0
Prostitution,1,1
Bribery,1,0
Weapon Law Violations,153,39
TOTAL GROUP A,"4,536",787
Bad Checks,125,0
Curfew/Loitering/Vagrancy,6,90
Disorderly Conduct,53,67
Driving Under Influence,1613,30
Drunkenness,641,30
"Family Offenses, Nonforcible",15,
Liquor Laws Violations,100,21
Peeping Tom,5,0
Runaway,0,197
Trespass of Real Property,121,20
Conspiracy,0,0
All Other (except Traffic),1869,159
TOTAL GROUP B,4548,614
GRAND TOTAL,9084,1401
