Arrests by Offense,Hopewell,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",8,1
Robbery,20,4
Aggravated Assault,40,4
Simple Assault/Intimidation,313,0
Arson,0,1
Extortion/Blackmail,1,0
Burglary,26,6
Larceny,94,9
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,6,0
Fraud,12,0
Embezzlement,9,0
Stolen Property,8,0
Vandalism,21,1
Drug/Narcotic Offenses,177,16
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,19,0
TOTAL GROUP A,760,42
Bad Checks,58,0
Curfew/Loitering/Vagrancy,1,71
Disorderly Conduct,14,2
Driving Under Influence,9,0
Drunkenness,93,0
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,14,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,60,1
Conspiracy,0,0
All Other (except Traffic),238,26
TOTAL GROUP B,495,109
GRAND TOTAL,1255,151
