Arrests by Offense,Fredericksburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,1
Robbery,5,1
Aggravated Assault,44,1
Simple Assault/Intimidation,176,8
Arson,1,0
Extortion/Blackmail,0,0
Burglary,11,
Larceny,124,32
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,20,0
Fraud,22,0
Embezzlement,16,0
Stolen Property,10,0
Vandalism,22,2
Drug/Narcotic Offenses,337,29
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,20,2
TOTAL GROUP A,817,76
Bad Checks,131,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,74,1
Driving Under Influence,71,0
Drunkenness,482,5
"Family Offenses, Nonforcible",14,
Liquor Laws Violations,63,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,65,5
Conspiracy,0,0
All Other (except Traffic),736,84
TOTAL GROUP B,1636,100
GRAND TOTAL,2453,176
